,Tweet,Nour_label
0,"Zika virus vaccine shows promise for treatment of fatal glioblastoma

https://t.co/QJkzpyunqT

#Health #inshape #LifeStyle #Keto #weightloss #Covid19",0
1,A vaccine thanks to Donald Trump.,0
2,Australia begins production of Oxford-developed #COVID19 #vaccine https://t.co/lmL8Q8skmZ https://t.co/DK2yx5lb95,0
3,"Hey twitter! During quarantine, my dad wrote a book about the history of Ghanaian kente! I’m so proud of him and would love if y’all could retweet and support ❤️🇬🇭 https://t.co/UaoO3vmMrX",0
4,@growthpundit @naomirwolf There is no such thing as herd immunity unless there is a vaccine .,2
5,RT @CBSNews: AstraZeneca says COVID-19 vaccine could arrive in January of next year https://t.co/CU58p034Jg,0
6,"So called ""anti-vax"" movement is a movement to acknowledge vaccine risks, conflicts of interest, lack of essential #vaccine science. It's a movement to protect #HumanRights of individuals to decline liability-free sold-for profit, risk-carrying pharma products.

#InformedConsent https://t.co/ep3rZcRfzT",1
7,Me and the fellas as soon as the vaccine hits https://t.co/iDwd342ypL,0
8,"You know you’ve been tricked when you want the same thing that the news media wants you to have like Biden, Covid, masks, vaccines, “new normal”... ☠️",1
9,"In wrapping up debate, Anwar says PH won’t support #Budget2021 as it stands now unless improvements are made on allocations to fight #COVID19 including RM 3 billion for vaccine. Not enough being done to put food on table, to help SME get back on its feet, to create and save jobs",0
10,@tedlieu @realDonaldTrump @JoeBiden The vaccine will be here momentarily. It’s already in boxes on the way here and it is the most beautiful vaccine anyone has ever seen. All the dead have said we’ve never seen anything like it. #COVID19 #sorrow,0
11,Goldman Strategists Say Post-Vote Focus Set to Return to Vaccine https://t.co/hmTbzi94X3  &gt;&gt;&gt; https://t.co/HTA6IsoHwv #digitalhealth #socialmedia #digitalmarketing #IoT #AI #healthtech #industry40 #mhealth https://t.co/TmqgzAcMKE,0
12,HHS Released More Coronavirus Vaccine Contracts As Election Results Unfolded https://t.co/W6UmLBo3v7,0
13,RT @Saveitbruh: Still ain’t taking no vaccine 🤣 if that shit ever come out,1
14,"The news is saying ""there is no evidence of voter fraud""!
Sounds like when they said ""There is no evidence that vaccines cause AUTISM""!

Tell that to the (now) milliins of parents who have witnessed their perfect baby regress into the HELL THAT IS AUTISM after getting vaccinated!",1
15,"@bearroisin Non live vaccine, do you mean?",0
16,"@613spades @misssashleyrae @Yair_1976 @DineshDSouza Until a vaccine makes it less of a threat, we need to work to reduce the harm done, and I think it needs to be a mandate because many people don’t care enough to wear masks, but they end up hurting others more than anything",2
17,RT @globaltimesnews: Australia begins production of Oxford-developed #COVID19 #vaccine https://t.co/lmL8Q8skmZ https://t.co/DK2yx5lb95,0
18,@DavidSmithFord1 @nytimes You guys are ill and infected by Trump. Unfortunately no vaccine for this. Your head needs to fight this virus or remain infected and stay ill. Choice is yours.,0
19,@tedlieu @realDonaldTrump @JoeBiden The vaccine is part of his Health Plan which is of Infrastructure Week,0
20,"@LLinWood No masks, no vaccines, no mark of the beast and no confiscations.",1
21,@CDCgov girl please find the vaccine,0
22,"@alfonslopeztena @GSAEmily This will further delay a vaccine distribution.
  
Maybe Emily should lay off the donuts and do her job. 

I now that’s mean, but I’m angry.",0
23,RT @ChrisSh25114417: @jimcramer Agreed! Masks and continued testing. At least until we get a vaccine and under control.,2
24,"Production of first Aussie virus vaccines just days away, says Morrison https://t.co/aYwat7oiIS via @InQldMedia IS THIS TRUE OR JUST ANOTHER ANNOUNCEABLE FROM THE MASTER OF ANNOUNCEABLES WITH NO DELIVERY",0
25,Biden under pressure to name new FDA chief stat — as faith in vaccines falters – Raw Story https://t.co/yOVDuSu9b5,0
26,@soonergrunt @RonaldKlain Wear a mask until a safe and effective vaccine has been developed. https://t.co/ZGAKxzNgy8,2
28,"Medical supplies across specialties are allocated under two budget items totalling RM4.29 billion in MOH’s Specific Programmes in operating expenditure of Budget 2021; Covid-19 vaccines are also not listed for MOH under the separate Covid-19 Fund.

https://t.co/mEMn5C9qEa",0
29,@ETTD_WI_RN @JenniferJJacobs @ektrit @MittRomney @CNN Inferior? Imagine looking at modern medicine's vaccine schedule and thinking that it is healthy. I weep for your patients. Do you even give them the vaccine inserts before jabbing? Do you make sure they understand informed consent?,1
30,"Think about what Trump was able to do with Operation Warp Speed to get us to a vaccine.

You don't think they can do the same to uncover the fraud?

We need a name for the uncover fraud Operation",0
32,Could the MMR Vaccine Protect Against COVID-19? Global Trial Enrolls Hea... https://t.co/JOT0WuPTmM via @YouTube,0
35,"@fuzzyblumonster @pjputh @60Minutes There is a fund available to provide money for vaccine injury - but the company is not on the hook to pay.  From research, doesn't look like the $ is guaranteed, so not great.  Unfortunately, the current response leaves us nothing but a vaccine unless we switch course quickly.",0
36,"@faxchecked @superwuster One other (unrelated to media) thought: the final COVID-19 death toll that stems from Trump’s negligence + malfeasance will almost certainly be 2-5x the current total, by the time a responsible government can curb it and distribute therapeutics or vaccines.",0
37,"#BREAKING: #NewYork State Just Passed Mandatory COVID19 Vaccination for All Citizens!!
https://t.co/gzpdvZIlvo",0
38,"AMEN. I really think this is part of why the ""flatten the curve"" messaging failed about as soon as the croci bloomed. This isn't fleeting. We need these behaviors at least until a vaccine is widely administered. https://t.co/wgiE2DAwJg",0
39,"President-elect Biden's plan to combat the coronavirus pandemic includes making significant investments in vaccine distribution, testing and the creation of a public health workforce to carry out contact tracing and other services. https://t.co/Pjy43dC4C6",0
40,The Trump administration labeled its vaccine czar a “contractor” to sidestep rules against personally profiting from government positions. The man holding this position owns $10 million in stock of a company working with his team to develop a vaccine. https://t.co/NwxP2GYfYR,0
